MatchID,Blue_Team,Purp_Team,Blue_Tower,Blue_Inhib,Blue_Baron,Blue_Dragon,Purp_Tower,Purp_Inhib,Purp_Baron,Purp_Dragon,Blue_Kills,Blue_Assists,Blue_Gold,Purp_Kills,Purp_Assists,Purp_Gold,Blue_BookOdds,Purp_BookOdds,Blue_ModelOdds,Purp_ModelOdds
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,2500,0,0,2500,1.73,1.99,1.85,1.87
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,2515,0,0,2515,1.73,1.99,1.85,1.87
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,2557,0,0,2572,1.73,1.99,1.85,1.87
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,2851,0,0,2871,1.73,1.99,1.86,1.86
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,3023,0,0,3050,1.73,1.99,1.86,1.86
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,3272,0,0,3343,1.73,1.99,1.88,1.84
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,3515,0,0,3672,1.73,1.99,1.93,1.79
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,3728,0,0,3881,1.73,1.99,1.93,1.79
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,3899,0,0,4085,1.73,1.99,1.95,1.78
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,4163,0,0,4456,1.73,1.99,2.01,1.73
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,4580,0,0,4722,1.73,1.99,1.92,1.8
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,4871,0,0,5048,1.73,1.99,1.94,1.78
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,5058,0,0,5283,1.85,1.85,1.97,1.76
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,5305,0,0,5512,1.85,1.85,1.96,1.77
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,5514,0,0,5660,1.85,1.85,1.93,1.8
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,5754,0,0,5852,1.85,1.85,1.9,1.82
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,6077,0,0,6120,1.85,1.85,1.87,1.85
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,6432,0,0,6273,1.85,1.85,1.77,1.96
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,0,0,6694,0,0,6451,1.85,1.85,1.73,2.01
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,1,1,7417,0,0,6595,1.85,1.85,1.51,2.42
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,1,1,7716,0,0,6827,1.85,1.85,1.49,2.48
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,1,1,7832,0,0,7014,1.85,1.85,1.51,2.42
104169295295198347,MAD Lions,Schalke 04,0,0,0,0,0,0,0,0,1,1,7832,0,0,7014,1.73,1.99,1.51,2.42
